21218	8.529517	1.632542	3
32950	10.451262	0.491933	3
13139	6.233408	0.706323	2
10292	4.171022	0.310369	2
7438	6.370957	0.294036	2
75902	13.404010	0.607598	1
30834	12.888518	0.037280	3
7635	3.825999	1.657503	2
28883	3.515256	0.175211	1
34158	3.243444	0.849390	1
29049	11.449420	1.421361	3
36412	3.997799	0.411409	1
15147	0.000000	1.361763	2
23255	2.025469	1.563819	1
18315	7.171522	1.400587	3
10025	1.496660	1.562770	2
38603	8.293936	1.439308	3
45509	9.626089	1.369910	3
33966	8.943094	0.874626	3
49584	7.549246	0.479684	3
7745	2.027416	0.217603	2
39177	12.246747	1.305325	3
14267	1.264179	0.945966	2
69884	8.538183	1.340154	1
12377	0.846425	1.255721	2
33955	7.909410	1.274253	3
12072	5.306467	1.575241	2
35099	4.990932	1.609111	1
35211	11.761090	1.352579	3
20200	6.982064	0.813553	3
9330	3.848864	1.441917	2
68679	11.391397	0.124529	1
10961	0.000000	1.411702	2
9615	2.682239	1.241540	2
5042	3.398496	0.286902	2
71853	10.240874	0.771453	1
33103	8.880881	0.627869	3
42303	12.236069	1.397257	3
37136	2.249420	0.063790	1
53850	4.234699	0.386986	1
38987	8.163720	0.429116	3
66928	7.813061	1.201467	1
41309	9.999532	1.173842	3
0	1.370483	1.034331	2
33667	10.613248	1.621635	3
38215	12.230456	0.825837	3
37605	7.570566	0.468470	3
5966	7.046901	0.766154	2
35198	13.136013	1.640275	3
10792	2.901616	0.889342	2
13002	5.073617	1.298336	2
1373	0.041845	0.663579	2
20060	10.106235	0.287202	3
12175	10.539432	0.720479	3
5853	0.000000	0.757236	2
23937	12.002025	0.174847	3
31155	14.053595	1.020709	3
43028	11.294579	0.726281	3
15743	2.258120	0.534607	2
39266	11.401406	0.536194	3
44592	3.522702	1.695661	1
23402	11.472038	0.363247	3
45528	1.249810	1.696389	1
77322	14.836204	0.273644	1
10556	0.000000	0.692795	2
48443	11.736546	0.181400	3
7882	1.699415	0.165374	2
17186	1.925977	1.139900	2
44001	11.240021	1.180910	3
36095	11.035947	1.169264	3
77661	11.346396	0.118289	1
9501	3.440321	1.556540	2
66152	5.659925	0.936805	1
11394	0.000000	1.593590	2
25339	8.407029	1.441329	3
51500	6.839014	0.567974	3
33223	10.776117	0.766452	3
38503	11.023456	0.600612	3
10930	4.857097	0.159425	2
27510	7.951456	1.237863	3
27594	9.305444	0.414592	3
15272	7.414468	0.345274	2
4757	2.935936	0.077006	2
73976	8.810452	0.304374	1
14171	0.000000	0.103934	2
4357	4.232439	0.191126	2
43914	10.218143	0.077880	3
36233	9.642255	1.340374	3
11320	2.270284	0.038227	2
54786	4.870240	0.706769	1
13317	2.748752	0.659008	2
32779	7.697888	0.987363	3
9762	7.069002	1.101582	2
7987	0.204483	0.689698	2
54952	2.859492	1.603886	1
50696	0.000000	0.527934	1
36418	5.989838	1.478607	3
33590	9.803451	0.755405	3
54619	2.177289	0.348723	1
2913	0.000000	1.592207	2
12370	3.732648	1.348593	2
25047	11.868203	0.594973	3
2483	4.453750	0.874082	2
72613	9.593126	1.536930	1
39514	8.622860	0.217958	3
10967	1.465678	0.057221	2
27772	12.784694	1.462184	3
71273	12.613023	0.090485	1
9441	1.503701	0.896662	2
13901	0.000000	0.050445	2
45290	9.539325	0.302926	3
39496	10.202102	1.047264	3
78684	13.029423	0.421210	1
47048	3.250934	1.028122	1
16360	9.990597	1.081073	2
28332	10.005037	1.220797	3
75456	16.558727	0.966742	1
21714	7.060788	1.470688	3
10492	3.281440	0.374006	2
22320	3.742210	1.171421	1
15180	2.249435	1.043595	2
66712	10.907820	0.000298	1
72213	8.665446	1.435583	1
4160	5.482211	0.787832	2
29458	10.971744	1.456977	3
9518	4.886225	0.280847	2
63635	8.213401	1.113689	1
37421	11.407339	0.318669	3
64007	5.478943	0.396994	1
27538	7.357945	0.383631	3
13175	5.378893	0.707165	2
35010	8.856111	1.145911	3
41916	11.032172	0.846570	3
41093	10.691563	1.367481	3
9325	1.422535	1.074958	2
4746	4.070461	1.511174	2
22361	10.848945	0.744295	3
39948	12.296317	0.816706	3
28385	12.046925	0.325873	3
69257	10.314205	1.414252	1
16073	1.552723	1.526126	2
17656	15.105066	1.573933	3
35644	9.407412	0.833524	3
61779	8.618092	1.615966	1
50892	2.146525	0.231508	1
46864	6.359478	1.041991	3
27466	1.778388	0.823939	1
4460	1.251210	1.320384	2
53267	1.261437	0.997036	1
29556	10.480299	0.349131	3
68700	10.025904	1.576872	1
7497	8.543850	0.240934	3
9804	1.365630	0.330832	2
35795	8.240034	1.031996	3
13222	3.921759	1.184018	2
